Order_ID,Order_Date,Product,Region,Units_Sold,Unit_Price,Customer_Rating,Total_Revenue
ORD1106,2024-04-16,Tablet,East,11,800,3.5,8800
ORD1107,2024-04-17,Smartwatch,North,8,500,3.5,4000
ORD1108,2024-04-18,Tablet,North,6,800,4.0,4800
ORD1109,2024-04-19,Tablet,South,7,150,4.0,1050
ORD1110,2024-04-20,Laptop,West,3,300,5.0,900
ORD1111,2024-04-21,Tablet,South,14,500,3.5,7000
ORD1112,2024-04-22,Headphones,South,1,800,4.5,800
ORD1113,2024-04-23,Tablet,West,5,80,4.0,400
ORD1114,2024-04-24,Laptop,West,14,500,5.0,7000
ORD1115,2024-04-25,Headphones,West,12,500,4.5,6000
ORD1116,2024-04-26,Smartphone,North,12,800,3.5,9600
ORD1117,2024-04-27,Tablet,East,2,500,5.0,1000
ORD1118,2024-04-28,Laptop,North,14,80,4.0,1120
ORD1119,2024-04-29,Smartphone,East,5,500,4.5,2500
ORD1120,2024-04-30,Smartphone,North,8,80,4.0,640
ORD1121,2024-05-01,Smartwatch,East,11,800,3.5,8800
ORD1122,2024-05-02,Headphones,North,9,300,4.5,2700
ORD1123,2024-05-03,Tablet,West,2,500,3.5,1000
ORD1124,2024-05-04,Laptop,South,12,300,3.5,3600
ORD1125,2024-05-05,Smartwatch,North,3,80,5.0,240
ORD1126,2024-05-06,Headphones,East,3,500,4.0,1500
ORD1127,2024-05-07,Smartwatch,West,1,150,4.5,150
ORD1128,2024-05-08,Headphones,North,8,300,3.5,2400
ORD1129,2024-05-09,Headphones,North,6,500,3.5,3000
ORD1130,2024-05-10,Tablet,West,12,300,4.5,3600
ORD1131,2024-05-11,Headphones,North,13,500,3.5,6500
ORD1132,2024-05-12,Smartwatch,South,8,800,5.0,6400
ORD1133,2024-05-13,Headphones,North,11,300,5.0,3300
ORD1134,2024-05-14,Tablet,South,9,150,5.0,1350
ORD1135,2024-05-15,Tablet,South,5,150,5.0,750
ORD1136,2024-05-16,Smartwatch,West,14,80,3.5,1120
ORD1137,2024-05-17,Smartphone,North,12,500,4.5,6000
ORD1138,2024-05-18,Smartphone,West,14,300,4.5,4200
ORD1139,2024-05-19,Headphones,North,3,80,4.5,240
ORD1140,2024-05-20,Laptop,North,5,300,4.5,1500
ORD1141,2024-05-21,Headphones,East,5,500,4.0,2500
ORD1142,2024-05-22,Smartwatch,North,5,150,4.5,750
ORD1143,2024-05-23,Smartwatch,West,3,800,4.0,2400
ORD1144,2024-05-24,Smartwatch,South,11,150,4.0,1650
ORD1145,2024-05-25,Smartwatch,North,14,80,5.0,1120
ORD1146,2024-05-26,Smartwatch,East,10,800,4.0,8000
ORD1147,2024-05-27,Tablet,West,14,80,3.5,1120
ORD1148,2024-05-28,Smartphone,North,4,500,4.0,2000
ORD1149,2024-05-29,Smartwatch,West,9,800,5.0,7200
ORD1150,2024-05-30,Laptop,East,13,80,4.0,1040
ORD1151,2024-05-31,Laptop,East,10,500,3.5,5000
ORD1152,2024-06-01,Laptop,West,9,150,3.5,1350
ORD1153,2024-06-02,Laptop,North,2,500,3.5,1000
ORD1154,2024-06-03,Tablet,South,8,300,5.0,2400
ORD1155,2024-06-04,Laptop,East,8,500,5.0,4000
ORD1156,2024-06-05,Smartwatch,North,7,500,4.5,3500
ORD1157,2024-06-06,Headphones,North,8,300,5.0,2400
ORD1158,2024-06-07,Laptop,South,14,80,3.5,1120
ORD1159,2024-06-08,Tablet,East,3,80,3.5,240
ORD1160,2024-06-09,Tablet,East,13,500,5.0,6500
ORD1161,2024-06-10,Laptop,North,6,300,4.0,1800
ORD1162,2024-06-11,Headphones,North,1,300,5.0,300
ORD1163,2024-06-12,Laptop,South,7,150,5.0,1050
ORD1164,2024-06-13,Tablet,South,1,80,3.5,80
ORD1165,2024-06-14,Smartphone,East,9,800,4.5,7200
ORD1166,2024-06-15,Smartwatch,West,1,80,3.5,80
ORD1167,2024-06-16,Tablet,East,1,80,4.5,80
ORD1168,2024-06-17,Laptop,North,7,150,3.5,1050
ORD1169,2024-06-18,Smartwatch,East,2,800,5.0,1600
ORD1170,2024-06-19,Laptop,West,14,150,3.5,2100
ORD1171,2024-06-20,Laptop,South,5,800,3.5,4000
ORD1172,2024-06-21,Smartphone,West,8,500,3.5,4000
ORD1173,2024-06-22,Smartwatch,West,8,800,5.0,6400
ORD1174,2024-06-23,Smartwatch,West,3,150,5.0,450
ORD1175,2024-06-24,Smartphone,South,7,80,5.0,560
ORD1176,2024-06-25,Tablet,West,3,800,5.0,2400
ORD1177,2024-06-26,Laptop,West,6,800,4.5,4800
ORD1178,2024-06-27,Headphones,West,6,300,4.5,1800
ORD1179,2024-06-28,Laptop,North,3,80,4.0,240
ORD1180,2024-06-29,Laptop,West,7,500,5.0,3500
ORD1181,2024-06-30,Tablet,South,3,150,4.5,450
ORD1182,2024-07-01,Laptop,West,8,500,3.5,4000
ORD1183,2024-07-02,Smartphone,West,10,80,5.0,800
ORD1184,2024-07-03,Smartphone,South,4,800,4.0,3200
ORD1185,2024-07-04,Smartwatch,West,13,800,4.0,10400
ORD1186,2024-07-05,Headphones,South,1,80,4.0,80
ORD1187,2024-07-06,Laptop,West,4,800,3.5,3200
ORD1188,2024-07-07,Laptop,South,14,800,4.5,11200
ORD1189,2024-07-08,Tablet,West,7,800,3.5,5600
ORD1190,2024-07-09,Smartphone,West,11,150,5.0,1650
ORD1191,2024-07-10,Headphones,North,4,150,4.0,600
ORD1192,2024-07-11,Smartwatch,North,13,300,3.5,3900
ORD1193,2024-07-12,Smartphone,West,6,500,3.5,3000
ORD1194,2024-07-13,Smartwatch,West,9,80,4.5,720
ORD1195,2024-07-14,Tablet,East,1,80,4.5,80
ORD1196,2024-07-15,Tablet,South,13,80,4.0,1040
ORD1197,2024-07-16,Laptop,East,5,300,3.5,1500
ORD1198,2024-07-17,Headphones,North,11,150,3.5,1650
ORD1199,2024-07-18,Smartwatch,North,7,300,4.5,2100
ORD1200,2024-07-19,Smartphone,North,1,80,3.5,80
ORD1201,2024-07-20,Tablet,North,14,500,3.5,7000
ORD1202,2024-07-21,Laptop,West,4,800,3.5,3200
ORD1203,2024-07-22,Laptop,North,6,150,4.5,900
ORD1204,2024-07-23,Smartwatch,West,2,150,4.0,300
ORD1205,2024-07-24,Tablet,West,10,300,5.0,3000
ORD1206,2024-07-25,Headphones,North,5,150,4.0,750
ORD1207,2024-07-26,Tablet,North,11,80,5.0,880
ORD1208,2024-07-27,Smartwatch,South,10,80,3.5,800
ORD1209,2024-07-28,Smartwatch,East,1,300,4.0,300
ORD1210,2024-07-29,Tablet,North,6,80,5.0,480
ORD1211,2024-07-30,Smartwatch,South,6,500,4.5,3000
ORD1212,2024-07-31,Tablet,South,13,300,4.5,3900
ORD1213,2024-08-01,Smartphone,East,4,500,4.0,2000
ORD1214,2024-08-02,Tablet,West,13,800,4.0,10400
ORD1215,2024-08-03,Tablet,North,8,500,3.5,4000
ORD1216,2024-08-04,Smartwatch,East,4,800,4.0,3200
ORD1217,2024-08-05,Smartwatch,North,8,800,3.5,6400
ORD1218,2024-08-06,Laptop,South,13,500,3.5,6500
ORD1219,2024-08-07,Laptop,South,8,300,4.5,2400
ORD1220,2024-08-08,Smartphone,West,5,80,4.5,400
ORD1221,2024-08-09,Laptop,South,13,80,5.0,1040
ORD1222,2024-08-10,Tablet,South,4,800,4.5,3200
ORD1223,2024-08-11,Smartwatch,East,12,800,4.5,9600
ORD1224,2024-08-12,Laptop,North,13,300,4.0,3900
ORD1225,2024-08-13,Laptop,North,2,150,4.5,300
ORD1226,2024-08-14,Smartphone,East,11,500,5.0,5500
ORD1227,2024-08-15,Smartphone,West,3,800,4.0,2400
ORD1228,2024-08-16,Tablet,North,3,80,5.0,240
ORD1229,2024-08-17,Smartwatch,South,4,300,4.5,1200
ORD1230,2024-08-18,Smartphone,North,4,500,5.0,2000
ORD1231,2024-08-19,Laptop,South,10,300,4.0,3000
ORD1232,2024-08-20,Smartwatch,West,11,500,3.5,5500
ORD1233,2024-08-21,Smartwatch,East,11,500,5.0,5500
ORD1234,2024-08-22,Laptop,North,5,800,5.0,4000
ORD1235,2024-08-23,Smartphone,East,4,300,4.0,1200
ORD1236,2024-08-24,Laptop,North,11,300,4.0,3300
ORD1237,2024-08-25,Smartwatch,South,14,80,5.0,1120
ORD1238,2024-08-26,Headphones,East,10,80,4.5,800
ORD1239,2024-08-27,Headphones,North,8,800,5.0,6400
ORD1240,2024-08-28,Tablet,South,6,800,4.0,4800
ORD1241,2024-08-29,Laptop,East,6,150,3.5,900
ORD1242,2024-08-30,Laptop,East,8,80,3.5,640
ORD1243,2024-08-31,Tablet,North,7,500,4.5,3500
ORD1244,2024-09-01,Tablet,North,10,300,5.0,3000
ORD1245,2024-09-02,Tablet,North,14,800,3.5,11200
ORD1246,2024-09-03,Smartwatch,South,11,300,5.0,3300
ORD1247,2024-09-04,Laptop,North,12,300,4.0,3600
ORD1248,2024-09-05,Smartwatch,East,10,150,3.5,1500
ORD1249,2024-09-06,Tablet,East,13,80,4.5,1040
ORD1250,2024-09-07,Laptop,North,8,800,4.0,6400
ORD1251,2024-09-08,Smartwatch,North,14,300,4.5,4200
ORD1252,2024-09-09,Smartwatch,West,2,800,4.0,1600
ORD1253,2024-09-10,Tablet,East,9,500,3.5,4500
ORD1254,2024-09-11,Laptop,South,1,150,4.5,150
ORD1255,2024-09-12,Tablet,West,8,500,4.5,4000
ORD1256,2024-09-13,Laptop,North,12,800,4.0,9600
ORD1257,2024-09-14,Headphones,North,11,800,4.5,8800
ORD1258,2024-09-15,Smartphone,East,12,80,4.0,960
ORD1259,2024-09-16,Smartphone,North,12,300,4.0,3600
ORD1260,2024-09-17,Smartphone,South,4,300,4.0,1200
ORD1261,2024-09-18,Tablet,East,4,500,4.0,2000
ORD1262,2024-09-19,Headphones,North,5,150,3.5,750
ORD1263,2024-09-20,Laptop,East,8,300,4.0,2400
ORD1264,2024-09-21,Smartwatch,North,5,80,5.0,400
ORD1265,2024-09-22,Laptop,North,8,500,4.5,4000
ORD1266,2024-09-23,Smartwatch,North,10,500,5.0,5000
ORD1267,2024-09-24,Laptop,South,1,80,3.5,80
ORD1268,2024-09-25,Headphones,South,12,150,5.0,1800
ORD1269,2024-09-26,Smartwatch,East,10,80,4.5,800
ORD1270,2024-09-27,Tablet,North,9,150,5.0,1350
ORD1271,2024-09-28,Laptop,North,6,80,3.5,480
ORD1272,2024-09-29,Laptop,South,3,80,4.0,240
ORD1273,2024-09-30,Smartwatch,North,13,800,5.0,10400
ORD1274,2024-10-01,Tablet,South,14,500,3.5,7000
ORD1275,2024-10-02,Tablet,North,8,80,3.5,640
ORD1276,2024-10-03,Headphones,East,9,80,4.5,720
ORD1277,2024-10-04,Tablet,North,6,300,4.5,1800
ORD1278,2024-10-05,Tablet,North,11,500,5.0,5500
ORD1279,2024-10-06,Tablet,West,7,300,4.0,2100
ORD1280,2024-10-07,Smartphone,South,1,500,3.5,500
ORD1281,2024-10-08,Headphones,North,14,300,5.0,4200
ORD1282,2024-10-09,Laptop,North,5,80,3.5,400
ORD1283,2024-10-10,Smartwatch,West,5,80,3.5,400
ORD1284,2024-10-11,Laptop,West,10,800,4.0,8000
ORD1285,2024-10-12,Headphones,South,14,300,4.0,4200
ORD1286,2024-10-13,Smartwatch,West,4,150,5.0,600
ORD1287,2024-10-14,Headphones,East,6,800,4.0,4800
ORD1288,2024-10-15,Tablet,West,7,300,4.0,2100
ORD1289,2024-10-16,Smartwatch,East,9,300,5.0,2700
ORD1290,2024-10-17,Tablet,South,1,800,4.0,800
ORD1291,2024-10-18,Laptop,South,6,80,4.5,480
ORD1292,2024-10-19,Laptop,South,7,300,3.5,2100
ORD1293,2024-10-20,Smartwatch,South,3,80,3.5,240
ORD1294,2024-10-21,Smartwatch,South,8,800,3.5,6400
ORD1295,2024-10-22,Headphones,East,5,80,3.5,400
ORD1296,2024-10-23,Headphones,East,9,500,5.0,4500
ORD1297,2024-10-24,Tablet,South,5,150,3.5,750
ORD1298,2024-10-25,Smartwatch,West,9,300,3.5,2700
ORD1299,2024-10-26,Laptop,North,10,150,3.5,1500
ORD1300,2024-10-27,Headphones,South,4,80,3.5,320
ORD1301,2024-10-28,Headphones,West,9,300,4.5,2700
ORD1302,2024-10-29,Laptop,North,5,80,3.5,400
ORD1303,2024-10-30,Headphones,South,10,500,4.5,5000
ORD1304,2024-10-31,Tablet,South,9,800,5.0,7200
ORD1305,2024-11-01,Smartwatch,East,3,300,4.0,900
ORD1306,2024-11-02,Laptop,North,4,500,3.5,2000
ORD1307,2024-11-03,Smartwatch,North,9,500,4.0,4500
ORD1308,2024-11-04,Headphones,West,10,300,4.0,3000
ORD1309,2024-11-05,Headphones,East,11,80,5.0,880
ORD1310,2024-11-06,Laptop,East,6,500,4.0,3000
ORD1311,2024-11-07,Tablet,East,2,150,4.5,300
ORD1312,2024-11-08,Smartphone,East,7,500,4.0,3500
ORD1313,2024-11-09,Laptop,North,2,80,4.0,160
ORD1314,2024-11-10,Smartphone,North,11,80,4.0,880
ORD1315,2024-11-11,Smartphone,South,2,150,3.5,300
ORD1316,2024-11-12,Tablet,South,11,500,3.5,5500
ORD1317,2024-11-13,Smartphone,East,1,80,4.5,80
ORD1318,2024-11-14,Smartphone,East,11,300,4.5,3300
ORD1319,2024-11-15,Tablet,East,11,800,3.5,8800
ORD1320,2024-11-16,Smartphone,South,12,800,4.5,9600
ORD1321,2024-11-17,Smartphone,West,11,800,3.5,8800
ORD1322,2024-11-18,Smartphone,West,3,500,5.0,1500
ORD1323,2024-11-19,Laptop,South,6,150,4.0,900
ORD1324,2024-11-20,Laptop,South,8,80,4.0,640
ORD1325,2024-11-21,Laptop,South,9,300,4.5,2700
ORD1326,2024-11-22,Tablet,South,7,300,3.5,2100
ORD1327,2024-11-23,Headphones,South,4,500,3.5,2000
ORD1328,2024-11-24,Smartphone,South,6,800,4.5,4800
ORD1329,2024-11-25,Smartphone,East,5,500,3.5,2500
ORD1330,2024-11-26,Tablet,East,8,150,5.0,1200
ORD1331,2024-11-27,Smartphone,East,1,150,4.0,150
ORD1332,2024-11-28,Laptop,East,1,80,4.5,80
ORD1333,2024-11-29,Headphones,South,13,80,4.5,1040
ORD1334,2024-11-30,Smartwatch,West,11,150,3.5,1650
ORD1335,2024-12-01,Smartphone,North,6,150,4.5,900
ORD1336,2024-12-02,Laptop,South,10,150,5.0,1500
ORD1337,2024-12-03,Smartwatch,North,12,500,3.5,6000
ORD1338,2024-12-04,Headphones,West,2,150,3.5,300
ORD1339,2024-12-05,Smartwatch,East,5,300,3.5,1500
ORD1340,2024-12-06,Laptop,West,1,800,3.5,800
ORD1341,2024-12-07,Smartwatch,South,7,150,5.0,1050
ORD1342,2024-12-08,Tablet,East,1,800,3.5,800
ORD1343,2024-12-09,Smartwatch,South,4,500,4.5,2000
ORD1344,2024-12-10,Smartphone,East,9,800,5.0,7200
ORD1345,2024-12-11,Smartphone,North,1,500,4.0,500
ORD1346,2024-12-12,Tablet,North,4,300,4.0,1200
ORD1347,2024-12-13,Laptop,North,6,500,4.5,3000
ORD1348,2024-12-14,Smartphone,West,6,500,4.5,3000
ORD1349,2024-12-15,Headphones,South,12,80,5.0,960
ORD1350,2024-12-16,Smartphone,West,13,150,4.0,1950
ORD1351,2024-12-17,Smartphone,North,8,150,4.0,1200
ORD1352,2024-12-18,Laptop,South,1,300,4.0,300
ORD1353,2024-12-19,Smartwatch,North,7,300,4.0,2100
ORD1354,2024-12-20,Smartphone,West,1,150,4.0,150
ORD1355,2024-12-21,Tablet,West,13,80,3.5,1040
ORD1356,2024-12-22,Smartwatch,West,14,150,4.5,2100
ORD1357,2024-12-23,Headphones,North,7,80,3.5,560
ORD1358,2024-12-24,Laptop,South,3,300,4.0,900
ORD1359,2024-12-25,Headphones,South,11,800,5.0,8800
ORD1360,2024-12-26,Smartwatch,North,8,300,5.0,2400
ORD1361,2024-12-27,Smartwatch,South,3,300,4.0,900
ORD1362,2024-12-28,Smartwatch,North,14,500,4.0,7000
ORD1363,2024-12-29,Headphones,South,14,500,5.0,7000
ORD1364,2024-12-30,Smartwatch,East,13,500,3.5,6500
ORD1365,2024-12-31,Headphones,East,1,500,3.5,500
ORD1366,2025-01-01,Smartwatch,West,13,80,4.0,1040
ORD1367,2025-01-02,Tablet,East,13,150,3.5,1950
ORD1368,2025-01-03,Smartwatch,East,14,800,5.0,11200
ORD1369,2025-01-04,Headphones,East,8,300,3.5,2400
ORD1370,2025-01-05,Smartphone,North,3,80,4.0,240
ORD1371,2025-01-06,Smartwatch,East,2,800,5.0,1600
ORD1372,2025-01-07,Smartphone,East,1,80,3.5,80
ORD1373,2025-01-08,Tablet,West,14,80,4.5,1120
ORD1374,2025-01-09,Laptop,East,3,300,5.0,900
ORD1375,2025-01-10,Tablet,East,2,150,5.0,300
ORD1376,2025-01-11,Smartwatch,South,2,500,4.5,1000
ORD1377,2025-01-12,Smartphone,West,6,150,4.5,900
ORD1378,2025-01-13,Smartphone,West,12,300,5.0,3600
ORD1379,2025-01-14,Headphones,West,1,300,4.5,300
ORD1380,2025-01-15,Smartphone,West,2,300,4.0,600
ORD1381,2025-01-16,Headphones,West,14,800,4.0,11200
ORD1382,2025-01-17,Laptop,West,6,150,4.0,900
ORD1383,2025-01-18,Smartwatch,North,3,150,5.0,450
ORD1384,2025-01-19,Headphones,East,4,80,4.5,320
ORD1385,2025-01-20,Laptop,West,1,80,4.5,80
ORD1386,2025-01-21,Smartphone,East,8,80,3.5,640
ORD1387,2025-01-22,Smartphone,East,13,300,3.5,3900
ORD1388,2025-01-23,Laptop,North,7,150,4.5,1050
ORD1389,2025-01-24,Smartphone,West,7,300,4.5,2100
ORD1390,2025-01-25,Laptop,South,3,800,4.5,2400
ORD1391,2025-01-26,Headphones,North,10,80,5.0,800
ORD1392,2025-01-27,Headphones,South,10,300,4.5,3000
ORD1393,2025-01-28,Laptop,East,3,300,3.5,900
ORD1394,2025-01-29,Headphones,East,14,800,5.0,11200
ORD1395,2025-01-30,Headphones,North,2,500,4.5,1000
ORD1396,2025-01-31,Headphones,North,12,150,3.5,1800
ORD1397,2025-02-01,Tablet,South,1,500,5.0,500
ORD1398,2025-02-02,Smartwatch,West,7,80,4.5,560
ORD1399,2025-02-03,Smartphone,South,7,300,4.5,2100
ORD1400,2025-02-04,Tablet,North,12,800,4.5,9600
ORD1401,2025-02-05,Headphones,South,2,800,5.0,1600
ORD1402,2025-02-06,Laptop,North,7,150,3.5,1050
ORD1403,2025-02-07,Headphones,South,13,500,3.5,6500
ORD1404,2025-02-08,Smartwatch,North,8,150,4.0,1200
ORD1405,2025-02-09,Headphones,North,1,300,4.5,300
ORD1406,2025-02-10,Laptop,North,9,150,4.0,1350
ORD1407,2025-02-11,Smartwatch,West,7,800,4.0,5600
ORD1408,2025-02-12,Headphones,South,3,800,3.5,2400
ORD1409,2025-02-13,Smartwatch,South,8,80,5.0,640
ORD1410,2025-02-14,Smartphone,South,7,80,5.0,560
ORD1411,2025-02-15,Smartphone,North,11,300,3.5,3300
ORD1412,2025-02-16,Headphones,South,13,500,5.0,6500
ORD1413,2025-02-17,Smartwatch,South,8,150,4.0,1200
ORD1414,2025-02-18,Laptop,North,6,300,4.5,1800
ORD1415,2025-02-19,Headphones,East,9,80,3.5,720
ORD1416,2025-02-20,Smartphone,North,5,150,4.5,750
ORD1417,2025-02-21,Smartphone,South,3,80,5.0,240
ORD1418,2025-02-22,Headphones,North,3,150,4.5,450
ORD1419,2025-02-23,Smartwatch,East,1,500,5.0,500
ORD1420,2025-02-24,Smartphone,North,12,300,5.0,3600
ORD1421,2025-02-25,Smartwatch,South,8,150,4.0,1200
ORD1422,2025-02-26,Smartphone,East,2,800,5.0,1600
ORD1423,2025-02-27,Smartphone,West,3,800,4.0,2400
ORD1424,2025-02-28,Tablet,South,8,150,4.0,1200
ORD1425,2025-03-01,Smartphone,East,14,150,4.0,2100
ORD1426,2025-03-02,Laptop,East,8,150,3.5,1200
ORD1427,2025-03-03,Headphones,West,14,800,3.5,11200
ORD1428,2025-03-04,Headphones,North,11,800,5.0,8800
ORD1429,2025-03-05,Smartwatch,North,4,150,4.0,600
ORD1430,2025-03-06,Smartphone,South,4,80,3.5,320
ORD1431,2025-03-07,Laptop,West,5,80,4.0,400
ORD1432,2025-03-08,Smartwatch,North,6,500,4.5,3000
ORD1433,2025-03-09,Tablet,West,5,300,4.5,1500
ORD1434,2025-03-10,Smartwatch,North,14,80,4.5,1120
ORD1435,2025-03-11,Smartwatch,East,7,800,5.0,5600
ORD1436,2025-03-12,Smartphone,North,2,80,4.0,160
ORD1437,2025-03-13,Tablet,West,7,500,4.5,3500
ORD1438,2025-03-14,Smartwatch,East,10,500,3.5,5000
ORD1439,2025-03-15,Laptop,East,7,300,4.5,2100
ORD1440,2025-03-16,Laptop,East,1,80,4.5,80
ORD1441,2025-03-17,Headphones,West,7,800,4.5,5600
ORD1442,2025-03-18,Tablet,South,5,800,5.0,4000
